Student,Attendance,Study_Hours,Assignment,Internal,Final_Mark
Student 1,92,5,90,85,88
Student 2,75,3,70,68,72
Student 3,95,6,94,91,93
Student 4,68,2,65,60,64
Student 5,88,4,85,80,83
Student 6,79,3,76,72,74
Student 7,96,7,95,94,96
Student 8,70,2,68,65,67
Student 9,85,5,82,79,81
Student 10,91,6,90,88,92
Student 11,77,3,74,70,73
Student 12,89,5,87,84,86
Student 13,65,2,60,58,62
Student 14,93,6,92,90,94
Student 15,82,4,80,76,79
Student 16,74,3,72,67,70
Student 17,97,7,96,95,97
Student 18,86,5,84,81,83
Student 19,69,2,66,62,65
Student 20,90,6,88,86,91
